Fecha,Campania,Plataforma,inversion,evento_objetivo,Instalaciones,cvr
2025-01-02,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,58.120000000000005,9,28,0.32142857142857145
2025-01-06,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,97.28,30,98,0.30612244897959184
2025-01-02,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,93.50999999999999,15,90,0.16666666666666666
2025-01-03,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,59.910000000000004,15,30,0.5
2025-01-04,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,93.4,29,72,0.4027777777777778
2025-01-04,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,54.65,13,24,0.5416666666666666
2024-12-29,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,80.89,22,56,0.39285714285714285
2024-12-30,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,84.04,31,70,0.44285714285714284
2025-01-08,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,62,207,0.2995169082125604
2025-01-05,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,54,281,0.19217081850533807
2025-01-04,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,64,271,0.23616236162361623
2025-01-01,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,30,209,0.14354066985645933
2024-12-31,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,40,206,0.1941747572815534
2024-12-29,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(MANUAL)_BROA_REGIST_APP _SPA,TikTok Ads,20.04,2,11,0.18181818181818182
2025-01-06,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,164.63,67,291,0.23024054982817868
2024-12-29,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,150.0,59,194,0.30412371134020616
2025-01-03,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,65,245,0.2653061224489796
2025-01-07,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,58,264,0.2196969696969697
2025-01-02,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,156.0,64,287,0.2229965156794425
2025-01-05,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,448.52,165,739,0.2232746955345061
2025-01-02,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,430.05,195,790,0.2468354430379747
2025-01-07,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,446.18,155,550,0.2818181818181818
2024-12-29,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,410.77,173,638,0.2711598746081505
2024-12-30,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,531.89,135,579,0.23316062176165803
2025-01-01,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,544.86,87,556,0.1564748201438849
2025-01-03,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,449.94,164,643,0.25505443234836706
2024-12-31,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,70.46,14,57,0.24561403508771928
2025-01-02,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,13.74,0,0,0.0
2025-01-01,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,11.99,0,0,0.0
2024-12-29,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,52.46,8,16,0.5
2025-01-09,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,56.96,10,29,0.3448275862068966
2025-01-10,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,95.62,31,82,0.3780487804878049
2024-12-30,BOOMIT_PEIG_EC_META_TRAFICO_GRAL_(PROMO-PEIGO-NAVIDAD)_BBDD_CLICK _TRAF_SPA,Meta,32.36,0,0,0.0
2024-12-31,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,44.57,8,22,0.36363636363636365
2024-12-31,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,13.41,0,0,0.0
2025-01-12,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,98.28999999999999,15,53,0.2830188679245283
2025-01-05,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,97.68,25,92,0.2717391304347826
2025-01-08,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,56.16,9,21,0.42857142857142855
2025-01-03,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,90.35,29,98,0.29591836734693877
2025-01-10,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,60.95,12,31,0.3870967741935484
2025-01-09,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,88.97,22,88,0.25
2025-01-01,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,48.309999999999995,4,21,0.19047619047619047
2024-12-29,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,15.08,0,0,0.0
2024-12-29,BOOMIT_PEIG_EC_META_TRAFICO_GRAL_(PROMO-PEIGO-NAVIDAD)_BBDD_CLICK _TRAF_SPA,Meta,20.990000000000002,0,0,0.0
2025-01-03,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,5.34,0,0,0.0
2025-01-11,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,99.53999999999999,31,92,0.33695652173913043
2025-01-07,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,93.99000000000001,18,80,0.225
2025-01-07,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,59.620000000000005,11,24,0.4583333333333333
2025-01-11,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,59.98,10,32,0.3125
2025-01-06,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,61.21,8,13,0.6153846153846154
2025-01-05,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,63.48,11,29,0.3793103448275862
2025-01-01,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,81.61,16,63,0.25396825396825395
2025-01-12,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,65.33,12,37,0.32432432432432434
2025-01-08,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_APP _SPA,Meta,88.23,23,93,0.24731182795698925
2024-12-30,BOOMIT_PEIG_EC_META_TRAFICO_WEB_(PODCAST-BRANDING)_BROA_CLICK _TRAF_SPA,Meta,13.56,0,0,0.0
2024-12-31,BOOMIT_PEIG_EC_META_TRAFICO_GRAL_(PROMO-PEIGO-NAVIDAD)_BBDD_CLICK _TRAF_SPA,Meta,39.5,0,0,0.0
2024-12-30,BOOMIT_PEIG_EC_META_ADQUISI_ANDROID_(GAMERS)_INTE_REGIST_APP _SPA,Meta,51.68,8,15,0.5333333333333333
2025-01-11,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,436.78,140,529,0.2646502835538752
2025-01-10,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,434.22,132,467,0.2826552462526767
2025-01-12,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,441.61,152,587,0.25894378194207834
2024-12-31,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,509.25,130,547,0.2376599634369287
2025-01-08,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,437.97,168,556,0.302158273381295
2025-01-09,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,437.43,149,511,0.29158512720156554
2025-01-04,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,430.68,148,598,0.24749163879598662
2025-01-06,BOOMIT_PEIG_EC_GADS_ADQUISI_ANDROID_(PRIMTARJ)_BROA_REGIST_UAC_SPA,Google Ads,452.68,177,680,0.26029411764705884
2025-01-05,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.04,4,14,0.2857142857142857
2025-01-12,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.07,1,6,0.16666666666666666
2025-01-11,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,71.67,19,43,0.4418604651162791
2025-01-09,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,34.05,32,128,0.25
2025-01-02,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.02,3,9,0.3333333333333333
2025-01-07,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.1,2,8,0.25
2025-01-08,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.06,4,10,0.4
2024-12-31,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,32.94,1,4,0.25
2024-12-30,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,27.09,5,15,0.3333333333333333
2025-01-01,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,30.05,4,10,0.4
2024-12-29,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.06,2,8,0.25
2024-12-30,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(MANUAL)_BROA_REGIST_APP _SPA,TikTok Ads,6.13,7,10,0.7
2025-01-11,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,14.98,2,3,0.6666666666666666
2025-01-06,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.02,4,11,0.36363636363636365
2025-01-09,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,4.77,2,6,0.3333333333333333
2025-01-12,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,165.0,43,176,0.24431818181818182
2025-01-03,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,24.04,2,5,0.4
2024-12-30,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(REGISTRO-SMART)_BROA_REGIST_APP _SPA,TikTok Ads,158.09,44,223,0.19730941704035873
2025-01-04,BOOMIT_PEIG_EC_TIKT_ADQUISI_ANDROID_(GAMERS-EMP)_INTE_REGIST_APP _SPA,TikTok Ads,23.92,5,14,0.35714285714285715